Realisation number,Variable,Time,Frequency,Empirical
1,x,199.0,-3.141592653589793,0.004243075114325723
1,x,199.0,-2.9845130209103035,0.004815385004488341
1,x,199.0,-2.827433388230814,0.0054464948584186275
1,x,199.0,-2.6703537555513246,0.004711468669258401
1,x,199.0,-2.5132741228718345,0.005457123453128561
1,x,199.0,-2.356194490192345,0.004704705237532938
1,x,199.0,-2.199114857512855,0.006761095175336223
1,x,199.0,-2.0420352248333655,0.007795770286618147
1,x,199.0,-1.884955592153876,0.005844884563985495
1,x,199.0,-1.7278759594743864,0.005099328946604841
1,x,199.0,-1.5707963267948966,0.005887798806967531
1,x,199.0,-1.413716694115407,0.005164092035415382
1,x,199.0,-1.2566370614359172,0.006153984710279546
1,x,199.0,-1.0995574287564276,0.008238414169792685
1,x,199.0,-0.942477796076938,0.006036271787062343
1,x,199.0,-0.7853981633974483,0.009464752706569164
1,x,199.0,-0.6283185307179586,0.009350759390153979
1,x,199.0,-0.471238898038469,0.010311496480793431
1,x,199.0,-0.3141592653589793,0.009981585113981705
1,x,199.0,-0.15707963267948966,0.011161697333077238
1,x,199.0,0.0,0.0054531785764428955
1,x,199.0,0.15707963267948966,0.011161697333077238
1,x,199.0,0.3141592653589793,0.009981585113981705
1,x,199.0,0.471238898038469,0.010311496480793431
1,x,199.0,0.6283185307179586,0.009350759390153979
1,x,199.0,0.7853981633974483,0.009464752706569164
1,x,199.0,0.942477796076938,0.006036271787062343
1,x,199.0,1.0995574287564276,0.008238414169792685
1,x,199.0,1.2566370614359172,0.006153984710279546
1,x,199.0,1.413716694115407,0.005164092035415382
1,x,199.0,1.5707963267948966,0.005887798806967531
1,x,199.0,1.7278759594743864,0.005099328946604841
1,x,199.0,1.884955592153876,0.005844884563985495
1,x,199.0,2.0420352248333655,0.007795770286618147
1,x,199.0,2.199114857512855,0.006761095175336223
1,x,199.0,2.356194490192345,0.004704705237532938
1,x,199.0,2.5132741228718345,0.005457123453128561
1,x,199.0,2.6703537555513246,0.004711468669258401
1,x,199.0,2.827433388230814,0.0054464948584186275
1,x,199.0,2.9845130209103035,0.004815385004488341
1,x,199.0,3.141592653589793,0.004243075114325723
1,x,219.0,-3.141592653589793,0.004833821613011305
1,x,219.0,-2.9845130209103035,0.004683924298584629
1,x,219.0,-2.827433388230814,0.00509291045142738
1,x,219.0,-2.6703537555513246,0.0034702766213325453
1,x,219.0,-2.5132741228718345,0.003348009594225772
1,x,219.0,-2.356194490192345,0.0037310628643017502
1,x,219.0,-2.199114857512855,0.007059765810745175
1,x,219.0,-2.0420352248333655,0.008407199256999707
1,x,219.0,-1.884955592153876,0.006665302207545966
1,x,219.0,-1.7278759594743864,0.005484308199673805
1,x,219.0,-1.5707963267948966,0.005092785512670935
1,x,219.0,-1.413716694115407,0.004045136019669145
1,x,219.0,-1.2566370614359172,0.004828518730269091
1,x,219.0,-1.0995574287564276,0.006916106354396038
1,x,219.0,-0.942477796076938,0.006766222971841462
1,x,219.0,-0.7853981633974483,0.0120089734085919
1,x,219.0,-0.6283185307179586,0.015347804112132811
1,x,219.0,-0.471238898038469,0.01945288551674175
1,x,219.0,-0.3141592653589793,0.019548054552582444
1,x,219.0,-0.15707963267948966,0.017761334857645958
1,x,219.0,0.0,0.0058320165400130115
1,x,219.0,0.15707963267948966,0.017761334857645958
1,x,219.0,0.3141592653589793,0.019548054552582444
1,x,219.0,0.471238898038469,0.01945288551674175
1,x,219.0,0.6283185307179586,0.015347804112132811
1,x,219.0,0.7853981633974483,0.0120089734085919
1,x,219.0,0.942477796076938,0.006766222971841462
1,x,219.0,1.0995574287564276,0.006916106354396038
1,x,219.0,1.2566370614359172,0.004828518730269091
1,x,219.0,1.413716694115407,0.004045136019669145
1,x,219.0,1.5707963267948966,0.005092785512670935
1,x,219.0,1.7278759594743864,0.005484308199673805
1,x,219.0,1.884955592153876,0.006665302207545966
1,x,219.0,2.0420352248333655,0.008407199256999707
1,x,219.0,2.199114857512855,0.007059765810745175
1,x,219.0,2.356194490192345,0.0037310628643017502
1,x,219.0,2.5132741228718345,0.003348009594225772
1,x,219.0,2.6703537555513246,0.0034702766213325453
1,x,219.0,2.827433388230814,0.00509291045142738
1,x,219.0,2.9845130209103035,0.004683924298584629
1,x,219.0,3.141592653589793,0.004833821613011305
1,x,239.0,-3.141592653589793,0.004743792439043848
1,x,239.0,-2.9845130209103035,0.004470238932530016
1,x,239.0,-2.827433388230814,0.004727248390794181
1,x,239.0,-2.6703537555513246,0.0032707055026995175
1,x,239.0,-2.5132741228718345,0.0030884665534435555
1,x,239.0,-2.356194490192345,0.003645156111274932
1,x,239.0,-2.199114857512855,0.006047829981439932
1,x,239.0,-2.0420352248333655,0.007031131566822377
1,x,239.0,-1.884955592153876,0.007626076640735169
1,x,239.0,-1.7278759594743864,0.00638353458294753
1,x,239.0,-1.5707963267948966,0.00539236819506535
1,x,239.0,-1.413716694115407,0.003774111284965608
1,x,239.0,-1.2566370614359172,0.0032616362961984274
1,x,239.0,-1.0995574287564276,0.004632814512796571
1,x,239.0,-0.942477796076938,0.006724812908184256
1,x,239.0,-0.7853981633974483,0.01227597220419495
1,x,239.0,-0.6283185307179586,0.015523763713328068
1,x,239.0,-0.471238898038469,0.02023754106646861
