,Quantile,Time,State variable,Smoothing,Residuals,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,AIC fold,AIC hopf,AIC null,Smax,Smax/Var
0,0.05,399,-0.5027476411889981,-0.268138182731303,-0.4706107288278139,0.13726769984680615,-0.10200268440415339,-0.08008575674365233,-0.1450974876026311,6.344681310590475e-09,1.7772327457194261e-19,0.06016912089790992,0.0049943808861693684,0.031189614818532975
1,0.05,419,-0.18440219343082204,-0.15896901198353974,-0.27930184375368594,0.13606921158285412,-0.05447478502675072,-0.06440207732548014,-0.10665894207036944,2.919372739821768e-06,1.3860910852954476e-21,0.0010547381765107764,0.005405282179503345,0.03722126990501496
2,0.05,439,-0.4686726653606367,-0.19772014272543018,-0.4208017992205297,0.1438954625245779,-0.05541971651911636,-0.04527976811303813,-0.10890077844855203,1.6097679786523642e-09,4.9425545374471e-16,0.19981311142502284,0.004490094851745656,0.029807046565306354
3,0.05,459,-0.3156539429994621,-0.19640809341594398,-0.3076610021686725,0.13764656677292683,-0.21017294420238009,-0.040922555336655925,-0.10246963290412206,4.896409575874669e-19,2.440707442620118e-16,7.877131780606826e-11,0.005015554328441897,0.034252128709550314
4,0.05,479,-0.6337097467354821,-0.16100995679592628,-0.5050928979898073,0.1343997104191495,-0.19930226795301154,-0.008820044589888915,-0.09545150927801416,1.906279490201908e-13,8.067838552955904e-14,2.7034491652947913e-05,0.005083107561324622,0.0326432500423708
5,0.05,499,-0.6444477964100437,-0.21066627377690503,-0.5232442425483084,0.14622012235421553,-0.23852471550217025,-0.05592758104431409,-0.11115838043649326,6.427264109188321e-17,4.5522160639693635e-12,4.278864711762666e-06,0.005178313352889411,0.0344662738228638
6,0.05,519,-0.37091289717843945,-0.23829410442740118,-0.5033906848996064,0.13916121069870652,-0.2301523855857956,-0.03594561132939335,-0.10827269230117563,6.852553454951525e-17,7.482529494816267e-07,5.713009241567704e-09,0.005118660799258013,0.0345425804847005
7,0.05,539,-0.5857637774881516,-0.2263503807041836,-0.4296470591981284,0.14221075453516144,-0.2981577811952403,-0.05126834610610141,-0.11120134053330213,8.154803968443401e-24,0.0004157864235868277,1.100570544297911e-14,0.005468888896166483,0.03787437290249084
8,0.05,559,-0.5749396178038658,-0.15011496696779325,-0.5611361034653615,0.14388649494716868,-0.3514458965212376,-0.03255195735673734,-0.10431765526485291,2.4765376700886648e-23,0.019509582743302955,1.719359249347626e-15,0.005777851204405909,0.03594108197653939
9,0.05,579,-0.5953619531117358,-0.18090444981132098,-0.6601155833524812,0.14358182419933335,-0.27252008249765036,-0.002731938640064858,-0.12655725787094066,5.765319068462354e-22,3.678493931915289e-06,1.0336198916176063e-11,0.005414082498584154,0.035137710293060814
10,0.05,599,-0.5150035297570527,-0.18391036223919027,-0.4897388835774835,0.15512384994433104,-0.343654086614625,-0.004960262117091599,-0.12976415334961253,9.782302591717123e-33,0.9991122062622767,3.0737354214298463e-24,0.0062897873777494045,0.038547579443353866
11,0.05,619,-0.5395971999984028,-0.1416557374710628,-0.5372467701466159,0.15350879588005653,-0.3456410794542642,0.000859023683875009,-0.08018616150716047,3.453296103025927e-22,1.0493979219535499e-07,6.576844591187603e-14,0.005307703774643726,0.03456565057004479
12,0.05,639,-0.5218162558763416,-0.08271071781958494,-0.5426670025701414,0.16640528623388762,-0.4390679965831759,0.04508165549861389,-0.15919647414734223,9.991769968415247e-37,0.9999997122487175,1.4352997063277612e-28,0.008374574555794512,0.04442809644848925
13,0.05,659,-0.4937627626619371,-0.06363049211392438,-0.4758192876802452,0.16878996686323228,-0.5121628997246697,0.049806241104155165,-0.1511227913149683,2.21903708700264e-41,0.994348519447905,5.620159802588465e-35,0.007966725793686425,0.04508404646063735
14,0.05,679,-0.48122922137610463,-0.1997382227278501,-0.35168157728773347,0.1673604711805672,-0.47113300905869626,0.03184161317529651,-0.14629450710710706,1.8989983727834934e-36,0.9999999891573469,1.3190273003337585e-29,0.007812184270822526,0.0469624615843992
15,0.05,699,-0.828753650649313,-0.2178339901794403,-0.7420030932671442,0.1839255295697533,-0.553336819955502,0.06171366933190677,-0.21599514832104555,2.0139687922683878e-48,0.9999999999920063,5.184827535231252e-42,0.007895164894706217,0.04353601928496437
16,0.05,719,-0.4424735260135118,-0.12430092791387741,-0.3280237294261601,0.174805609504332,-0.5451032436267776,0.04439735667152134,-0.18356551850691014,1.9084519351508965e-41,1.0,2.022932742247354e-34,0.008750796100336937,0.05068851340473804
17,0.05,739,-0.7311673293047057,-0.18508012516996603,-0.503524840893494,0.19700745338944273,-0.5766711682438338,0.14819117785555766,-0.2896745652482469,2.1670306757115724e-49,1.0,4.25809984516664e-43,0.0113137355966231,0.052281667187132314
18,0.05,759,-0.8153756179177805,-0.17146738244422202,-0.8175583788857349,0.1990467729374398,-0.6145304153665903,0.17480942661128687,-0.2945920355544661,1.1569102863505421e-54,1.0,4.479565634517697e-50,0.013523205078964443,0.06097770064623525
19,0.05,779,-1.0742549826624639,-0.22855079845717377,-1.1300321649585465,0.1848337133925716,-0.648062780995265,0.13038972843468488,-0.29811340806887876,6.751099196838558e-51,1.0,2.213316724752381e-47,0.010751778730810752,0.05302061833085171
20,0.05,799,-0.5275330294629847,-0.14647243783550107,-0.4723859638565696,0.2207316793743743,-0.7290329048291556,0.29248064983895,-0.4800538280692368,2.6028212294621896e-76,1.0,7.009104640797146e-74,0.01493859518913135,0.04974382892252796
21,0.05,819,-0.9471908501811921,-0.20702378260993942,-0.8258278664653402,0.22010204847701323,-0.7636420984140952,0.23009892091188805,-0.45776637237122747,7.148927487600179e-71,1.0,8.822619706265421e-68,0.014290672407560974,0.06699796021235173
22,0.25,399,-0.2671583191693192,-0.05568790912744429,-0.2610532487678537,0.14000498270106357,-0.035592089585573985,-0.0446738065473805,-0.08628597577733313,2.438252217421108e-06,1.152322813373081e-17,0.7030426702295607,0.005428546219409431,0.036862272644459015
23,0.25,419,-0.08136495103681485,-0.04307930773653127,-0.08660305190441583,0.14112711240255382,-0.0010087347177291008,-0.03729793140553975,-0.0685137820380865,0.00022164081529467834,1.969192374207037e-16,0.05296233310224492,0.006097731060867055,0.04048668385678611
24,0.25,439,-0.10443484823748284,-0.07022787971197395,-0.09980858705017444,0.15121869021713785,-0.03588698610322826,-0.018384276378223048,-0.09254888372984847,6.5328421152285e-07,8.866928305300174e-15,0.9977765180355709,0.005165196914081916,0.03353294182987247
25,0.25,459,-0.16876567412018595,-0.06870981472337867,-0.11289647841273884,0.152000156673602,-0.12022664249060003,0.011424780486008708,-0.06085705781752407,4.148672903043908e-09,3.0073225384905516e-12,0.7754832201504009,0.0054591170122721515,0.036070549100375104
26,0.25,479,-0.4163641241996534,-0.11443331144689961,-0.39383300529705156,0.14888092888515997,-0.15934127669496428,0.007246262510960895,-0.0636376709197154,2.661910578959527e-11,2.305530424062825e-11,0.02299913310171922,0.005902085779863977,0.037153038006531844
27,0.25,499,-0.5134475336770628,-0.05941126138810647,-0.3484246074186797,0.15206829333981692,-0.1928208652607782,-0.039995040456202585,-0.07059681756631192,4.018679220553458e-11,2.621729559796573e-06,0.014150829569498207,0.005827199890180565,0.03633920921737048
28,0.25,519,-0.239908814576272,-0.1015284350652236,-0.13204545207793184,0.14645980172955717,-0.20219321027156287,-0.016403314414326284,-0.06217148637476359,1.2850859774711816e-11,4.564144138407105e-05,0.001344258826802791,0.00570592390542558,0.036202376092505616
29,0.25,539,-0.27360926802775865,-0.1634945143527543,-0.28231013412970746,0.14568387769546232,-0.24326374292016553,-0.01265066000615407,-0.08220647440338005,1.1784866531802588e-15,0.004593371667687942,1.6571044753560752e-05,0.006095702860500632,0.04090528269657914
30,0.25,559,-0.30218007678096503,-0.054247829194142956,-0.3025099379975555,0.1492676728036816,-0.3053885309340273,0.012856847816002642,-0.056271905491630615,4.3388460282137104e-20,0.9998081225713058,2.98281226273955e-12,0.006373497393191655,0.042530091706381626
31,0.25,579,-0.4414442887905521,-0.07579719113522598,-0.4777941672744249,0.15197606732295244,-0.25040954825052786,0.04299639925921885,-0.0956426664224059,7.197858127573756e-19,0.9887129175913275,3.219978320724416e-10,0.0065283311004416845,0.043445212938821164
32,0.25,599,-0.3228181275253421,-0.07808488454351697,-0.2651738375274273,0.16122263903540252,-0.3191836437704716,0.022708785669906393,-0.020310728632960694,8.835802230915674e-26,0.9999996823778259,5.099891521707567e-18,0.006901239886079576,0.04249245793739938
33,0.25,619,-0.19957872647266317,-0.08649054390088633,-0.13088588002444052,0.16159999454930718,-0.2961457307175477,0.02417829593169512,-0.06001840714639283,3.393006594708502e-20,0.6573077562517508,7.47224416505245e-12,0.006870804048850006,0.04168230041448854
34,0.25,639,-0.401230950942546,-0.03442203003441322,-0.38482629300647603,0.18099832054172102,-0.3940949360402714,0.07630028891786193,-0.09924949447588166,2.0700944070359687e-30,0.9999999999918163,1.190028690528562e-21,0.008856647669552182,0.05003209664481356
35,0.25,659,-0.2721744280995799,-0.015453755529866827,-0.3068919572348443,0.18016754754801118,-0.4414667992849985,0.12216967250469377,-0.13927230104756305,4.192277507607661e-34,0.9999999999999996,1.4643646117288717e-28,0.009486580768177103,0.05049682364103772
36,0.25,679,-0.22407465876710564,-0.1047090245648676,-0.15640247637198745,0.1830631359621383,-0.4204288326178587,0.09332480278074425,-0.12696461692816766,2.7100744692692708e-33,1.0,1.4749354777007022e-25,0.009053858643867388,0.04979006637300391
37,0.25,699,-0.5241196361086837,-0.13371326657256488,-0.4208373352310227,0.20106217634727708,-0.49129095939254175,0.14082228791671877,-0.17016450947515946,2.50931280039823e-41,1.0,5.41244085133481e-34,0.011410607706182794,0.05650938051644386
38,0.25,719,-0.10239828958928765,-0.08092961221817739,-0.09826076110296966,0.1995575887100648,-0.5066274096116032,0.1605256839537818,-0.17030606657802963,1.1339189651574145e-34,1.0,3.098050665204539e-28,0.011709400806821094,0.05639913043115037
39,0.25,739,-0.3859543201503497,-0.09378710636446057,-0.3367514163205863,0.20598735955288475,-0.5229636361352726,0.18356685333716374,-0.22010305693080903,7.062581224071158e-43,1.0,5.442942159637726e-37,0.014003157949718157,0.06628318095693746
40,0.25,759,-0.4064716266411139,-0.025029786949490977,-0.36831870963024116,0.2144137275324898,-0.5807453665690303,0.2407402397197105,-0.23727110391788364,1.0218671098339246e-43,1.0,3.8250846065978964e-39,0.016242371073580508,0.0726062196077572
