Realisation number,Variable,index,Skewness,Lag-2 AC,Lag-1 AC,Standard deviation,Lag-3 AC,Variance,Coefficient of variation,Kurtosis,Smax
1,x,0,-0.45444075304540416,0.12345514950166113,0.5679291251384274,0.5981838316722038,-0.5588039867109634,0.5981838316722038,0.6082392026578073,-0.30777408637873754,0.6833333333333333
2,x,0,0.06741971207087485,-0.44642303433001107,0.36234772978959023,-0.40270210409745294,-0.664983388704319,-0.40270210409745294,-0.5210188261351052,0.5367884828349944,-0.5499999999999999
3,x,0,0.4371207087486157,-0.7321816168327796,-0.45851605758582503,0.15477297895902545,-0.2750830564784053,0.15477297895902545,0.14059800664451827,-0.7593798449612403,-0.41666666666666663
4,x,0,0.164828349944629,-0.4472203765227021,-0.5085271317829457,-0.6012846068660022,-0.06294573643410853,-0.6012846068660022,-0.5712956810631229,-0.3680620155038759,-0.5
5,x,0,0.7246954595791805,0.27818383167220373,0.2948394241417497,-0.4110299003322259,-0.1981395348837209,-0.4110299003322259,-0.41173864894795126,-0.24411960132890365,0.26666666666666666
6,x,0,-0.18795127353266886,-0.0346843853820598,-0.573953488372093,-0.4272868217054263,-0.7472868217054263,-0.4272868217054263,-0.46272425249169435,0.26564784053156143,-0.4666666666666666
7,x,0,-0.1941971207087486,0.733687707641196,0.6325581395348836,0.46307862679955697,0.2395127353266888,0.46307862679955697,0.4560797342192691,-0.0302547065337763,0.26666666666666666
8,x,0,0.6202436323366556,0.1448062015503876,-0.31335548172757477,-0.3130897009966777,0.24770764119601327,-0.3130897009966777,-0.28983388704318935,-0.4997120708748616,0.03333333333333333
9,x,0,0.8042524916943521,0.2970542635658915,-0.5117165005537098,-0.6225027685492801,0.7431672203765226,-0.6225027685492801,-0.6213067552602436,0.6325138427464009,-0.7
10,x,0,-0.3659357696566999,-0.44420819490586927,0.020819490586932447,-0.3816168327796235,-0.5914950166112957,-0.3816168327796235,-0.38857142857142857,-0.16735326688815058,-0.5166666666666667
11,x,0,-0.676234772978959,-0.46533776301218155,0.13284606866002216,0.09506090808416388,-0.3164562569213732,0.09506090808416388,0.14923588039867108,-0.24934662236987817,-0.11666666666666665
12,x,0,-0.33009966777408634,0.44194905869324475,0.48270210409745296,0.24225913621262457,-0.09036544850498338,0.24225913621262457,0.26932447397563675,-0.47277962347729785,-0.016666666666666666
13,x,0,-0.3845404208194905,0.2203765227021041,0.32677740863787375,-0.4040753045404208,0.4156810631229236,-0.4040753045404208,-0.4177630121816168,-0.048682170542635655,0.016666666666666666
14,x,0,-0.20132890365448503,-0.30059800664451825,-0.7165891472868217,-0.6758361018826134,0.07725359911406424,-0.6758361018826134,-0.6878848283499446,0.1694795127353267,-0.39999999999999997
15,x,0,-0.25612403100775194,-0.3863565891472868,-0.4636987818383167,-0.3178737541528239,0.6697231450719823,-0.3178737541528239,-0.2915614617940199,0.34662236987818384,-0.5833333333333334
16,x,0,0.3926467331118494,0.43450719822812844,0.10790697674418603,0.059446290143964554,-0.23862679955703212,0.059446290143964554,-0.030830564784053154,0.5963233665559247,0.2833333333333333
17,x,0,-0.2831893687707641,0.49151716500553705,0.2940863787375415,-0.6743300110741971,-0.31689922480620153,-0.6743300110741971,-0.6907641196013288,0.8057142857142857,-0.15
18,x,0,0.7082613510520487,0.016566998892580287,0.6484606866002215,0.8617054263565891,-0.5449390919158361,0.8617054263565891,0.8648947951273531,0.29049833887043186,0.5
19,x,0,0.009390919158361018,-0.6793355481727574,0.18803986710963455,-0.23251384274640086,-0.43060908084163896,-0.23251384274640086,-0.22693244739756366,0.3319158361018826,0.19999999999999998
20,x,0,-0.5391805094130675,-0.7755038759689922,-0.8042524916943521,-0.6271096345514949,0.40230343300110744,-0.6271096345514949,-0.6140863787375416,-0.5531782945736434,-0.6
21,x,0,0.6780066445182724,0.45763012181616836,-0.6751273532668882,-0.6656921373200442,0.24363233665559245,-0.6656921373200442,-0.6753488372093023,0.5816168327796235,-0.48333333333333334
22,x,0,-0.5650498338870431,0.5596013289036544,0.44730897009966775,-0.06440753045404209,-0.5638095238095238,-0.06440753045404209,-0.054839424141749714,-0.6758361018826134,0.39999999999999997
23,x,0,0.48341085271317824,0.6689258028792913,0.7909191583610188,0.714640088593577,-0.4768549280177187,0.714640088593577,0.716234772978959,0.4121816168327796,0.7999999999999999
24,x,0,0.1917607973421927,0.5126024363233666,0.36735326688815056,-0.5750609080841639,0.6171871539313399,-0.5750609080841639,-0.5658028792912513,-0.2287929125138427,0.0
25,x,0,-0.3942414174972314,0.019224806201550385,0.7134440753045403,0.5204872646733112,-0.7161904761904762,0.5204872646733112,0.4711849390919158,-0.6422591362126246,0.8333333333333333
26,x,0,-0.5308527131782945,-0.2720708748615725,0.36660022148394245,-0.4836766334440753,-0.4106312292358804,-0.4836766334440753,-0.47074197120708744,0.2224141749723145,0.26666666666666666
27,x,0,0.3385603543743078,0.3834330011074197,0.72,0.15716500553709853,-0.8236544850498339,0.15716500553709853,0.11915836101882613,-0.7202214839424141,0.41666666666666663
28,x,0,0.0018604651162790697,-0.5462236987818383,0.02423034330011074,-0.44646733111849385,-0.5797563676633444,-0.44646733111849385,-0.4487707641196013,0.055193798449612405,-0.35
29,x,0,-0.5579623477297896,0.2769435215946844,0.5635880398671096,-0.6069988925802879,0.06857142857142856,-0.6069988925802879,-0.5645182724252491,-0.7392691029900331,-0.26666666666666666
30,x,0,-0.3027242524916944,0.09758582502768548,-0.5713399778516057,0.31180509413067553,-0.29935769656699884,0.31180509413067553,0.3210188261351052,-0.5569435215946844,0.35
