Realisation number,Variable,index,Coefficient of variation,Smax,Lag-3 AC,Standard deviation,Variance,Kurtosis,Lag-1 AC,Smax/Var,Lag-2 AC
1,x,0,0.8050815320439895,0.7333333333333334,-0.7982789300195444,0.8026195268516088,0.8026195268516088,-0.19070038797001257,-0.9793004871503166,0.5218390804597701,0.7224118316268487
2,x,0,0.8354890464105482,0.6551724137931034,-0.216382252559727,0.838651147866165,0.838651147866165,-0.41931682272979204,-0.9605029024824248,0.5402298850574713,0.659449841019807
3,x,0,0.6723666170765148,0.7011494252873564,-0.9190338671567341,0.6729733671713195,0.6729733671713195,0.27876082961407195,-0.9635949943117179,0.5172413793103449,0.8269362037280127
4,x,0,0.7603803856363585,0.8068965517241379,-0.7532277354802953,0.7664245500422976,0.7664245500422976,0.30791983897785946,-0.9777836119133049,0.7011494252873564,0.7831101776494269
5,x,0,0.6126834106356291,0.5172413793103449,-0.6798109740089263,0.6104197660511654,0.6104197660511654,-0.3744523205274059,-0.9703392549808934,0.4114942528735632,0.3681047810740644
6,x,0,0.8284180741518626,0.8022988505747127,-0.6498701904845251,0.8310200985968905,0.8310200985968905,-0.1537819783553572,-0.970957673346752,0.6735632183908047,0.719611446573904
7,x,0,0.84435693241154,0.8574712643678161,-0.7738455704326013,0.8449636825063448,0.8449636825063448,-0.12722499343659754,-0.9786003908870804,0.7011494252873564,0.7743939791721364
8,x,0,0.8825471835710744,0.825287356321839,-0.38398529797847203,0.8823254864210497,0.8823254864210497,0.27358011726612413,-0.9721595052653074,0.7103448275862069,0.8913800647589044
9,x,0,0.5102826638662816,0.5724137931034483,-0.5046585572182842,0.5068171873632624,0.5068171873632624,0.024929261106735514,-0.9748315393366589,0.5954022988505747,0.4916250984510371
10,x,0,0.8688486333537528,0.8206896551724139,-0.702120708264053,0.8656398588139204,0.8656398588139204,0.7155975613313499,-0.9804439777136025,0.7517241379310345,0.8293632041072315
11,x,0,0.6788075026982878,0.664367816091954,-0.7379306321285845,0.6881654560835448,0.6881654560835448,0.5189055161751408,-0.9684723316122634,0.6229885057471265,0.47303754266211606
12,x,0,0.3515241679064205,0.5908045977011495,-0.8989527726729093,0.3468101864006301,0.3468101864006301,0.6089145590852076,-0.9652752253434849,0.6137931034482759,0.6868936145386658
13,x,0,0.7380589831101778,0.5218390804597701,-0.46373793063212865,0.7310346839357079,0.7310346839357079,0.19632449461801002,-0.9812957615005397,0.45287356321839084,0.5678305767042968
14,x,0,0.6289139756716549,0.7563218390804598,-0.6909775094075437,0.6291940141769494,0.6291940141769494,0.05470668883638168,-0.9776552609317115,0.6183908045977011,0.7439397917213618
15,x,0,0.5888217963303288,0.632183908045977,-0.24628803127096646,0.5962311484495786,0.5962311484495786,0.27986931536419596,-0.9593944167323007,0.5954022988505747,0.39182637612671745
16,x,0,0.8030162480674427,0.7195402298850575,-0.5309588401738573,0.8001225168460664,0.8001225168460664,0.2944079810974009,-0.9679355911437824,0.6597701149425287,0.45040109681747914
17,x,0,0.484099063621248,0.535632183908046,-0.753659461509291,0.4858376360082845,0.4858376360082845,0.2952480966132843,-0.9794405064029638,0.5310344827586208,0.4368659023949127
18,x,0,0.8761062979493014,0.8482758620689655,-0.7254105772877105,0.8770981009888861,0.8770981009888861,-0.0778682068784458,-0.9689623989965288,0.6551724137931034,0.8248942562935738
19,x,0,0.11356144803243781,0.5402298850574713,-0.7422478924185409,0.11217292377701935,0.11217292377701935,0.291455908520755,-0.9600478399113211,0.6,0.4498293515358362
20,x,0,0.472127417519909,0.5954022988505747,-0.7170094221288761,0.4837140106764681,0.4837140106764681,0.09803097925964821,-0.9650185233802981,0.5632183908045977,0.6860768355648903
21,x,0,0.7898427700475483,0.6827586206896552,-0.7005571599428256,0.8027362095621483,0.8027362095621483,-0.6166622910650215,-0.9639450424433361,0.5448275862068965,0.72585397158776
22,x,0,0.7836935912021238,0.6965517241379311,-0.7937983139348328,0.7873340917709519,0.7873340917709519,0.2664624719232228,-0.9517400309209184,0.5678160919540229,0.5791137948134536
23,x,0,0.7748023686590241,0.8068965517241379,-0.8177066013243488,0.7774160613751058,0.7774160613751058,-0.21180829030658382,-0.9793704967766402,0.7057471264367816,0.7860739184971267
24,x,0,0.5042851725445583,0.4988505747126437,-0.8641229835769085,0.5020331962311485,0.5020331962311485,0.15910270995595227,-0.9661736822146378,0.28735632183908044,0.5006096671625683
25,x,0,0.5460692511887052,0.45287356321839084,-0.8459554855459294,0.5480995303520901,0.5480995303520901,-0.2656340246783933,-0.9692541057728772,0.4160919540229885,0.5715877599836645
26,x,0,0.9098509378372861,0.8436781609195403,-0.8270412181674982,0.9109594235874101,0.9109594235874101,0.4413815232927861,-0.9777019340159273,0.6919540229885057,0.8606808436159973
27,x,0,0.7046993961669731,0.7471264367816092,-0.6805577433563782,0.7090399929990374,0.7090399929990374,0.19438756162305654,-0.9810157229952453,0.7195402298850575,0.7183162684869171
28,x,0,0.44769405793296585,0.5264367816091954,-0.7834135526968292,0.45797380473148397,0.45797380473148397,-0.13590618710072636,-0.9654385811382399,0.5218390804597701,0.6292990286164348
29,x,0,0.7573466351623349,0.7885057471264368,-0.7352235932440712,0.7543712260435811,0.7543712260435811,0.6103730929669496,-0.972066159096876,0.7103448275862069,0.6322861060062426
30,x,0,0.5632449461800998,0.6413793103448276,-0.887797905545346,0.5600245033692133,0.5600245033692133,-0.22950905749540562,-0.986581488287973,0.5586206896551724,0.5985764709314199
31,x,0,0.7202532014818706,0.7517241379310345,-0.6945129955368865,0.7206615909687583,0.7206615909687583,-0.12644321927598381,-0.9750415682156298,0.6091954022988506,0.8571570257577085
32,x,0,0.8491759283568159,0.8022988505747127,-0.6097196697879292,0.8501327265832386,0.8501327265832386,0.3561331349727255,-0.9649485137539746,0.6045977011494253,0.6166856276071294
33,x,0,0.7121904261836004,0.7241379310344828,-0.8381610804818997,0.7127621714652432,0.7127621714652432,-0.24903007496864155,-0.9634899798722326,0.6045977011494253,0.782176715965112
34,x,0,0.4338204836498352,0.5126436781609195,-0.7711618680901958,0.43142848808377826,0.43142848808377826,0.34676351331641436,-0.9780519821475454,0.5678160919540229,0.4390011959977831
35,x,0,0.8777981972521223,0.6873563218390805,-0.4673317581167411,0.875277850704472,0.875277850704472,0.0719990665383157,-0.9672471631516001,0.6,0.6991102943321374
36,x,0,0.40224614217788285,0.5218390804597701,-0.7728887722061785,0.3980338963274117,0.3980338963274117,-0.12747002712873023,-0.9826026078585807,0.6275862068965518,0.40513987339925916
37,x,0,0.756961582217555,0.6919540229885057,-0.7906362124792159,0.7566815437122605,0.7566815437122605,-0.3559697791779703,-0.9773052128000935,0.535632183908046,0.6839065371488581
38,x,0,0.7064029637408478,0.632183908045977,-0.48278054899215317,0.6975467460109099,0.6975467460109099,-0.1696975000729267,-0.96466847524868,0.5678160919540229,0.5989615238761997
39,x,0,0.645821300428809,0.5264367816091954,-0.8998162247309006,0.6456579446340539,0.6456579446340539,-0.06244275254514163,-0.9809223768268138,0.5126436781609195,0.7298561885592603
40,x,0,0.38208336979668045,0.5218390804597701,-0.740217613255156,0.39046118841340693,0.39046118841340693,-0.09826434468072695,-0.978308684110732,0.439080459770115,0.5243779352994371
41,x,0,0.7622239724628803,0.7563218390804598,-0.8005542428750622,0.7651177036842567,0.7651177036842567,-0.3964236749219685,-0.9688807210991512,0.6689655172413793,0.6855984364516788
42,x,0,0.37238703655085914,0.503448275862069,-0.2660074093521193,0.3678480791108778,0.3678480791108778,0.6913858988944314,-0.9743181354102858,0.48045977011494256,0.7683264782240893
43,x,0,0.7017356553192732,0.7379310344827587,-0.7789796096963333,0.7015256264403024,0.7015256264403024,-0.21358186750678218,-0.9570257577083516,0.7333333333333334,0.7676613867740149
44,x,0,0.5253580700679678,0.6,-0.7437180945713371,0.5288935561973105,0.5288935561973105,0.29827017881625395,-0.972999620781191,0.5494252873563219,0.7904028470581373
45,x,0,0.48895306437968555,0.5402298850574713,-0.7914879962661534,0.49547562789883615,0.49547562789883615,-0.38536215396283663,-0.972801260173274,0.5218390804597701,0.8139494180449812
46,x,0,0.7057962136460432,0.44367816091954027,-0.345176628453079,0.7079665120620752,0.7079665120620752,0.4661415944692396,-0.9753799480761939,0.12183908045977011,0.1750298999445757
47,x,0,0.7400542574604009,0.6413793103448276,-0.7399842478340772,0.7381873340917711,0.7381873340917711,-0.42586272279105053,-0.9666870861410112,0.42528735632183906,0.7052244683644001
48,x,0,0.7386540649339285,0.6505747126436782,-0.8689419795221844,0.741151074939471,0.741151074939471,-0.007415186254776699,-0.9774569003237947,0.5448275862068965,0.5606195851929642
49,x,0,0.6725416411423238,0.7333333333333334,-0.5454858376360083,0.6688544674892798,0.6688544674892798,0.3777544412356699,-0.9682856392754005,0.6459770114942529,0.840879787637467
50,x,0,0.6721915930107057,0.6689655172413793,-0.35227093725387243,0.6628919809807182,0.6628919809807182,-0.11855546804352265,-0.9583092675242847,0.5724137931034483,0.6340946880196028
51,x,0,0.11975729996207812,0.7655172413793103,-0.8773197981389108,0.12241766576237569,0.12241766576237569,0.26722090954172867,-0.9692424375018233,0.7287356321839081,0.8135526968291473
52,x,0,0.7685131705609523,0.7057471264367816,-0.8808552842682537,0.7639275400367551,0.7639275400367551,-0.6029287360345381,-0.9827076222980661,0.6137931034482759,0.8103089174761531
53,x,0,0.5997316297657596,0.7011494252873564,-0.29753507773985594,0.6025203465476503,0.6025203465476503,0.05635191505498674,-0.9732446544733235,0.664367816091954,0.6555293019456843
54,x,0,0.6478865844053558,0.6229885057471265,-0.46514979142965496,0.6438843674338556,0.6438843674338556,0.48566261194247545,-0.9640267203407137,0.5678160919540229,0.6380035588226716
55,x,0,0.6442810886496894,0.632183908045977,-0.7269157842536683,0.6482132959948661,0.6482132959948661,-0.41866339955077164,-0.9592427292085995,0.5080459770114942,0.7915813424345848
56,x,0,0.7209649660161606,0.7563218390804598,-0.25173711385315484,0.7212916776056709,0.7212916776056709,0.5925906478807503,-0.9761267174236459,0.6873563218390805,0.662565269391208
57,x,0,0.46110090137393894,0.5080459770114942,-0.8277646509728422,0.45898894431317644,0.45898894431317644,0.5452174674017678,-0.97794696770806,0.535632183908046,0.777929465301479
58,x,0,0.40279455091741784,0.5126436781609195,-0.16836731717277795,0.3979638867010881,0.3979638867010881,-0.022957323298620227,-0.9772818762579856,0.439080459770115,0.7369504973600538
59,x,0,0.86718007059304,0.871264367816092,-0.5543420553659462,0.8706338788250053,0.8706338788250053,0.048650856159388585,-0.9753332749919781,0.7241379310344828,0.763215775502465
60,x,0,0.12228931478078237,0.4298850574712643,-0.4281146991044602,0.12585980572328698,0.12585980572328698,0.38708905807881927,-0.966162013943584,0.5954022988505747,0.643639333741723
61,x,0,0.5147166068667776,0.632183908045977,-0.4646363875032818,0.5119862314401564,0.5119862314401564,0.6408039438756163,-0.9732329862022695,0.5908045977011495,0.7575566640413058
62,x,0,0.37011172369534145,0.15402298850574714,-0.14913800647589046,0.37299378664566385,0.37299378664566385,-0.1644584463697092,-0.9438522796884572,0.0896551724137931,0.580899040284706
63,x,0,0.7341734488492169,0.7977011494252874,0.08468247717394477,0.7336717131938976,0.7336717131938976,-0.25027857997141273,-0.972801260173274,0.6919540229885057,0.5494880546075086
64,x,0,0.7634841457367055,0.6091954022988506,-0.39616697295878184,0.7626440302208221,0.7626440302208221,-0.403506315451708,-0.965800297540912,0.3885057471264368,0.9228260552492636
65,x,0,0.670686386044748,0.5678160919540229,-0.5030716723549489,0.6664858084653307,0.6664858084653307,0.19761967270499695,-0.9803039584609552,0.4850574712643679,0.8181966687086142
66,x,0,0.43840611417403236,0.6137931034482759,-0.8116040955631401,0.43942125375572477,0.43942125375572477,0.3176278404947347,-0.9654385811382399,0.4942528735632184,0.728245967153817
67,x,0,0.8539015781336602,0.7379310344827587,-0.8118141244421109,0.8507511449490972,0.8507511449490972,0.33523526151512506,-0.9657186196435344,0.6137931034482759,0.6836148303725097
68,x,0,0.5585309646743094,0.5310344827586208,-0.8655465126454889,0.5620664508036523,0.5620664508036523,0.248213295994866,-0.9710976925993993,0.47126436781609193,0.6524022053032293
69,x,0,0.41385607187654977,0.3241379310344828,-0.6158105072780842,0.4162363991715528,0.4162363991715528,0.3555613896910826,-0.9677255622648114,0.3103448275862069,0.5844811994982644
70,x,0,0.7512908024853417,0.6367816091954024,-0.7891426737843121,0.7492605233219569,0.7492605233219569,-0.11744698229339869,-0.9712260435809925,0.5954022988505747,0.7423295703159185
71,x,0,0.8518246258860593,0.6965517241379311,-0.738945771710277,0.841031475161168,0.841031475161168,0.4549283859864065,-0.9719494763863367,0.6045977011494253,0.5879233394591757
72,x,0,0.7674396896239901,0.6689655172413793,-0.7691315889268109,0.7666345789212685,0.7666345789212685,-0.11346810186400631,-0.9625098451037019,0.5954022988505747,0.7452933111636184
73,x,0,0.782176715965112,0.67816091954023,-0.7818266678334939,0.780146436801727,0.780146436801727,-0.42064700562994084,-0.9666987544120651,0.6137931034482759,0.44203494647180663
74,x,0,0.36894489658994783,0.5816091954022989,-0.6641638225255974,0.3612088328811878,0.3612088328811878,0.14421399609112923,-0.9729412794259211,0.5310344827586208,0.7109302529097752
75,x,0,0.7635424870919753,0.7609195402298851,-0.4125375572474549,0.7644292756920745,0.7644292756920745,0.13533444181908347,-0.9696858318018728,0.664367816091954,0.8471456491934308
76,x,0,0.8652431375980866,0.8436781609195403,-0.45267640967299677,0.8632945363320791,0.8632945363320791,0.5043201773577201,-0.9691957644176076,0.6827586206896552,0.8583355211341561
77,x,0,0.5652752253434847,0.7103448275862069,-0.6884804994020012,0.5647851579592195,0.5647851579592195,-0.014696187392433129,-0.96466847524868,0.6689655172413793,0.8249759341909514
78,x,0,0.7826667833493773,0.6183908045977011,-0.7397742189551064,0.7842303316706049,0.7842303316706049,-0.43574574837373475,-0.9739914238207755,0.48045977011494256,0.7418395029316532
