Realisation number,Variable,index,Coefficient of variation,Smax,Lag-3 AC,Standard deviation,Variance,Kurtosis,Lag-1 AC,Smax/Var,Lag-2 AC
1,x,0,0.948615387314369,0.48550724637681164,0.6868854328394867,0.11725130040437534,0.11725130040437534,0.41738375305913006,0.9476329570274467,0.4710144927536232,0.8988798540389289
2,x,0,0.9642114681192602,0.8405797101449275,0.8160399287738043,0.58215134689438,0.58215134689438,-0.715568888538021,0.8673719112654931,0.6376811594202899,0.8784067085953878
3,x,0,0.9385805636693771,0.8043478260869565,0.6515179425102848,0.409085725814233,0.409085725814233,0.3779988245923353,0.931721095058902,0.8333333333333333,0.8983886388954677
4,x,0,0.9644044454970484,0.891304347826087,0.8505302492039684,0.8595124689701148,0.8595124689701148,-0.32240379639132305,0.9504399007043675,0.8768115942028986,0.8577581291720393
5,x,0,0.9464926361586977,0.7681159420289855,0.5790461654517863,0.6679385630202714,0.6679385630202714,-0.04683210090962519,0.8470917431997405,0.7898550724637681,0.70067454365236
6,x,0,0.9714393480873311,0.8260869565217391,0.8205310386568775,0.8167241212950537,0.8167241212950537,-0.4758032683350438,0.9523696744822505,0.7246376811594203,0.898651789865179
7,x,0,0.9818074962939571,0.8333333333333333,0.8560564195679062,0.8584423216932887,0.8584423216932887,-0.7498662315903968,0.955773093690517,0.7753623188405797,0.8940378761962405
8,x,0,0.9659658079173356,0.9130434782608696,0.9069498171100762,0.7936019227564187,0.7936019227564187,0.08804154276641843,0.94631720217889,0.8840579710144928,0.9306158609861145
9,x,0,0.8685122321342421,0.6014492753623188,0.8876345359332649,0.19444225151969688,0.19444225151969688,0.32380726822978345,0.9238791961615045,0.6956521739130435,0.9095813268071894
10,x,0,0.963492188802049,0.5652173913043478,0.7731287773128778,0.5880108418199521,0.5880108418199521,-0.15174162083453946,0.8746875082234679,0.49275362318840576,0.8596177293579993
11,x,0,0.9566151767935932,0.34057971014492755,0.3017552169679746,0.7129373788409078,0.7129373788409078,-0.04667421032779839,0.8164083401314002,-0.07971014492753624,0.33494732594756277
12,x,0,0.9343350613580345,0.6521739130434783,0.3965071094620317,0.5818706525266879,0.5818706525266879,0.14714525056358166,0.9183179390016052,0.5434782608695652,0.7680236485004782
13,x,0,0.9685271440225258,0.8260869565217391,0.9184582861854513,0.750567967509627,0.750567967509627,0.5702218362674667,0.9358964237783217,0.6739130434782609,0.9373174390147627
14,x,0,0.9644746190889714,0.7536231884057971,0.876459391419524,0.7705148110137453,0.7705148110137453,0.08323465171969159,0.903879722463444,0.5579710144927535,0.8775821688902924
15,x,0,0.9525451084620581,0.5289855072463768,0.8530214117172357,0.14211029534310501,0.14211029534310501,-0.1473206845433892,0.9099146513688237,0.4710144927536232,0.8880380340868222
16,x,0,0.9469663079041781,0.6521739130434783,0.7268492934396463,0.6393603677096217,0.6393603677096217,-0.39143706744559353,0.8990026578247942,0.3695652173913043,0.8170048156627459
17,x,0,0.9268791172162136,0.7028985507246377,0.8193907177881284,-0.2553704727068586,-0.2553704727068586,-0.29582554845047937,0.9417734621018745,0.7101449275362319,0.8428637842863784
18,x,0,0.9676499741234881,0.7753623188405797,0.7496206240186662,0.795514153136321,0.795514153136321,0.7003061322947642,0.9415804847240862,0.5434782608695652,0.8828276448865382
19,x,0,0.8865819320544196,0.15217391304347824,0.5990982693437892,-0.4955922212573354,-0.4955922212573354,-0.07753304737594625,0.924212520723139,0.37681159420289856,0.8028472934922765
20,x,0,0.9284931098304431,0.6159420289855072,0.7930756208169961,0.32433357016920605,0.32433357016920605,-0.6602019245107585,0.9352648614510144,0.572463768115942,0.7958123909019938
21,x,0,0.9509311158478285,0.782608695652174,0.7540415603098164,0.6673420874889258,0.6673420874889258,-0.6431672850714455,0.9258616001333299,0.7391304347826086,0.8135838530564986
22,x,0,0.9460891380051404,0.4565217391304348,0.6252203889371333,0.6846749646939116,0.6846749646939116,-0.30189556415182056,0.9347911897055342,0.3043478260869565,0.7038148118909152
23,x,0,0.9510188328377324,0.6449275362318841,0.8777576028701,0.7410068156101155,0.7410068156101155,0.35545555818706526,0.9304228836083263,0.5072463768115942,0.9063357981807496
24,x,0,0.9457207266475445,0.5507246376811594,0.6239397208845381,0.6461847495241353,0.6461847495241353,-0.4435058726524741,0.9341245405822655,0.14492753623188404,0.8040577879529487
25,x,0,0.8634071033218425,-0.028985507246376812,0.5195565028990465,0.3637711288299431,0.3637711288299431,-0.16030279904914785,0.8015139952457393,-0.1956521739130435,0.652728436970957
26,x,0,0.8916344306728771,0.5217391304347826,0.6256589738866521,-0.13877704972676158,-0.13877704972676158,0.6571142864661457,0.7937598133382455,0.536231884057971,0.7908651526714209
27,x,0,0.9562116786400359,0.7753623188405797,0.8693894020332799,0.5266440356832716,0.5266440356832716,-0.6918326710700596,0.9085813531222863,0.7101449275362319,0.900441216459216
28,x,0,0.9430541301544696,0.37681159420289856,0.7924791452856504,0.3342280466303519,0.3342280466303519,-0.3979807548924152,0.9092480022455549,0.38405797101449274,0.6976395358016895
29,x,0,0.9510890064296554,0.7028985507246377,0.6061156285360911,0.33743848846083,0.33743848846083,0.5377665500030702,0.9394051033744727,0.6159420289855072,0.7199722814311904
30,x,0,0.8375481346982098,0.6376811594202899,0.5979404050770594,-0.4389621325754585,-0.4389621325754585,0.3719288088909941,0.7550590773927003,0.7246376811594203,0.7816548687315247
31,x,0,0.8934589440628756,0.6594202898550725,0.8893011587414367,0.17909177828653633,0.17909177828653633,-0.39712112839135816,0.8492320377533925,0.6811594202898551,0.8786698595650992
32,x,0,0.9746322465198285,0.717391304347826,0.831372858608984,0.5591344087436296,0.5591344087436296,0.5160302799049148,0.9192301956966046,0.6884057971014493,0.858073910335693
33,x,0,0.8984237256914293,0.39855072463768115,0.699393875599765,-0.06339306860345781,-0.06339306860345781,0.4819610010262888,0.8501442944483918,0.5797101449275361,0.8168118382849575
34,x,0,0.8585651254791542,0.06521739130434782,-0.020446830346569828,-0.4713297018499513,-0.4713297018499513,0.2053542450637264,0.8830732524582686,0.2971014492753623,0.687938036718332
35,x,0,0.9656149399577204,0.7681159420289855,0.8005315649588169,0.6244309360279993,0.6244309360279993,-0.4852065296527284,0.948615387314369,0.6376811594202899,0.8772663877266389
36,x,0,0.7273931387770498,0.4710144927536232,0.5241879599659658,-0.29942194503653413,-0.29942194503653413,-0.4217345157583573,0.858354604703385,0.6159420289855072,0.6546055805548977
37,x,0,0.9417559187038937,0.6231884057971014,0.7089023973053341,0.4338920905590204,0.4338920905590204,0.4164364095681693,0.8366358780032104,0.31884057971014496,0.6972711244440937
38,x,0,0.9585274071734954,0.7463768115942029,0.8058472145469856,0.625237932335114,0.625237932335114,-0.2888783628501005,0.9632992114242608,0.7028985507246377,0.9262124680929449
39,x,0,0.9425804584089894,0.6304347826086957,0.6565002675368192,0.7273405085831075,0.7273405085831075,0.5986947711902318,0.907598922835364,0.6159420289855072,0.8132505284948642
40,x,0,0.6944290939712113,0.2391304347826087,0.5185565292141435,-0.03749901318386358,-0.03749901318386358,-0.4776453251230231,0.6802891151987229,0.40579710144927533,0.4475233107900669
41,x,0,0.9638606001596449,0.6014492753623188,0.8531091287071394,0.6575879582116261,0.6575879582116261,-0.44029543082199596,0.9266335096444831,0.5434782608695652,0.8900906116505706
42,x,0,0.8667052621422243,0.13768115942028986,0.867950843398858,-0.33559643167285075,-0.33559643167285075,0.378735647307527,0.9070024473040184,0.38405797101449274,0.8089348525915986
43,x,0,0.9637553397717604,0.891304347826087,0.8649860091401105,0.8898800908748016,0.8898800908748016,-0.7873389296772892,0.9589484487250337,0.8260869565217391,0.903458680911906
44,x,0,0.8906169135899933,0.5797101449275361,0.7768830644807594,-0.39310369025376524,-0.39310369025376524,-0.3540169995526434,0.8582318009175197,0.6304347826086957,0.846828592230029
45,x,0,0.9277562871152514,0.782608695652174,0.8259870354288923,0.026341412068103472,0.026341412068103472,-0.4720840679631238,0.9320368762225556,0.7391304347826086,0.9351245142671685
46,x,0,0.9607203319210899,0.38405797101449274,0.8702841153302984,0.47261036990254646,0.47261036990254646,-0.056726577370770956,0.8589861670306922,0.17391304347826086,0.5174162083453945
47,x,0,0.9483522363446577,0.2246376811594203,0.671903370963922,0.5463979018096015,0.5463979018096015,-0.01346455795022938,0.8333201757848477,0.12318840579710144,0.795514153136321
48,x,0,0.9563169390279205,0.891304347826087,0.8131628115049604,0.399419313526837,0.399419313526837,-0.5331701797321123,0.9552818785470558,0.8550724637681159,0.8613720691560748
49,x,0,0.879196161504522,0.7608695652173914,0.9660535249072394,0.6751839863863232,0.6751839863863232,-0.005236704297255336,0.9527029990438849,0.717391304347826,0.970509547994351
50,x,0,0.9330193065094778,0.6159420289855072,0.7409892722121348,0.6585353017025868,0.6585353017025868,0.1434435935896424,0.9003359560713315,0.572463768115942,0.7954966097383402
51,x,0,0.7994965044779524,0.5579710144927535,0.39768251712674224,-0.049182916239046345,-0.049182916239046345,-0.11051463557976544,0.7420769628869416,0.6739130434782609,0.7105514767155251
52,x,0,0.9446681227686992,0.5942028985507246,0.7876371674429621,0.5244160241397157,0.5244160241397157,0.5465382489934475,0.8972834048226801,0.5217391304347826,0.8421445049691675
53,x,0,0.9564748296097472,0.7608695652173914,0.8586002122751156,0.2969132391252862,0.2969132391252862,0.26484390761646626,0.9438260396656228,0.6884057971014493,0.8954062612387393
54,x,0,0.9524223046761928,0.8333333333333333,0.8583195179074236,0.6607984000421042,0.6607984000421042,0.36435006096330796,0.8693894020332799,0.7971014492753623,0.8440216485531082
55,x,0,0.916475882213626,0.34782608695652173,0.7578309342736596,-0.12283010096225538,-0.12283010096225538,-0.17475855898528986,0.9314053138952485,0.4275362318840579,0.9308088383639028
56,x,0,0.9369841144531285,0.927536231884058,0.919475803268335,0.4858907221739779,0.4858907221739779,0.15228546617194286,0.9434927151039886,0.8985507246376812,0.941878722489759
57,x,0,0.9194933466663158,0.8188405797101449,0.3018253905598976,0.09718165311439173,0.09718165311439173,0.21705569151688991,0.9179144408480479,0.8333333333333333,0.7339017394279098
58,x,0,0.851337245511083,0.5579710144927535,0.8957395858003736,0.5567835934142085,0.5567835934142085,0.32540371744603214,0.8985640728752752,0.5869565217391304,0.916967097357087
59,x,0,0.9465628097506206,0.7753623188405797,0.7099550011841794,0.6059752813522451,0.6059752813522451,-0.39359490539722636,0.9691411629518522,0.6884057971014493,0.9196161504521811
60,x,0,0.8479689130987782,-0.057971014492753624,0.6803417453926651,-0.8497583396928151,-0.8497583396928151,-0.4060156311676009,0.9143531310579547,0.463768115942029,0.8268291185319686
61,x,0,0.9738603370086752,0.7463768115942029,0.9105988438900731,0.8406708595387842,0.8406708595387842,0.6294483478504952,0.953334561371192,0.6014492753623188,0.9037744620755594
62,x,0,0.915475908528723,0.39855072463768115,0.8888274869959563,0.08393638763892179,0.08393638763892179,0.4806452461777322,0.9232300904362166,0.4565217391304348,0.9055814320675774
63,x,0,0.9464575493627361,0.5434782608695652,0.8258466882450463,0.4713297018499513,0.4713297018499513,0.43110269028008036,0.8545301439435804,0.5217391304347826,0.7831109707639273
64,x,0,0.9295106269133269,0.7681159420289855,0.8623194126470356,0.21609080462794839,0.21609080462794839,-0.06955080129470277,0.8903186758243204,0.7391304347826086,0.9046165451786358
65,x,0,0.9386507372613002,0.6449275362318841,0.8602668350832873,0.4664701806092823,0.4664701806092823,0.6389042393621222,0.9127742252396867,0.6739130434782609,0.8840556827451909
66,x,0,0.8206889292387044,0.48550724637681164,0.7792163364121998,0.48038209520802083,0.48038209520802083,0.3363157109900617,0.7258844065507049,0.536231884057971,0.846828592230029
67,x,0,0.9731936878854066,0.8260869565217391,0.7677780409287475,0.7896722016087296,0.7896722016087296,-0.21802057840583142,0.9587203845512837,0.7608695652173914,0.9000377183056587
68,x,0,0.9375104163925511,0.16666666666666669,0.35263107111216374,0.06823504644614616,0.06823504644614616,0.7198845644412867,0.8415304860398412,0.13043478260869565,0.7433751743375174
69,x,0,0.9395454505583186,0.5869565217391304,0.6509565537749007,0.5441874336640264,0.5441874336640264,0.35589414313658413,0.9093708060314202,0.5072463768115942,0.7153057375683096
