Realisation number,Variable,index,Coefficient of variation,Lag-2 AC,Standard deviation,Lag-1 AC,Skewness,Kurtosis,Variance,Smax,Lag-3 AC
1,x,0,0.9294979079497909,0.8719665271966529,-0.2733612273361228,0.9167364016736403,-0.43856345885634596,0.5827057182705718,-0.2733612273361228,0.0606060606060606,0.4023709902370991
2,x,0,0.888981868898187,0.6711994421199443,0.19351464435146445,0.8411436541143655,-0.838145048814505,-0.7516736401673642,0.19351464435146445,0.7878787878787877,0.7241283124128313
3,x,0,0.8619246861924688,0.8993723849372386,0.33026499302649936,0.9205020920502094,-0.7534170153417016,-0.01666666666666667,0.33026499302649936,0.606060606060606,0.8658298465829848
4,x,0,0.9324965132496514,0.9087168758716877,0.3755230125523013,0.9327754532775454,-0.5591352859135287,-0.055160390516039055,0.3755230125523013,0.909090909090909,0.7485355648535565
5,x,0,0.9539051603905162,0.4891910739191075,0.7288702928870293,0.8687587168758717,-0.0018131101813110184,-0.744002789400279,0.7288702928870293,0.2121212121212121,0.6173640167364017
6,x,0,0.9410041841004185,0.8939330543933055,0.7087168758716876,0.9304741980474199,-0.6162482566248257,-0.2670850767085077,0.7087168758716876,0.909090909090909,0.8208507670850769
7,x,0,0.9453974895397491,0.8822175732217574,0.8145746164574618,0.9583682008368203,0.2933751743375175,-0.28981868898186897,0.8145746164574618,0.8787878787878787,0.6362622036262204
8,x,0,0.9090655509065552,0.5353556485355649,0.6468619246861925,0.500976290097629,-0.21380753138075315,-0.6664574616457463,0.6468619246861925,0.4848484848484848,0.13563458856345886
9,x,0,0.8474198047419805,0.6618549511854952,-0.20000000000000004,0.7260111576011158,-0.5177824267782428,0.8010460251046025,-0.20000000000000004,-0.0606060606060606,0.07050209205020921
10,x,0,0.9092747559274758,-0.28054393305439335,0.539958158995816,0.7764993026499304,0.4029288702928871,-0.531171548117155,0.539958158995816,0.4848484848484848,-0.39937238493723853
