Realisation number,AIC fold,AIC hopf,AIC null
1,0.9998628091890591,0.00013719035002432325,4.609165778879139e-10
2,0.9999999992866901,2.4055947190568485e-11,6.892540869696713e-10
3,0.9999999476068157,3.55296716499773e-08,1.6863512789060535e-08
4,0.9999999860086357,8.3888747776855e-15,1.3991355856018658e-08
5,0.9999999996434688,3.475087162507211e-10,9.022543334431512e-12
6,0.999999999999998,1.8257440138326013e-19,2.068168092437971e-15
7,0.9999999730761572,2.6540399311148464e-08,3.8344349180854103e-10
8,0.9982658609208346,0.0017310541397716533,3.084939393779198e-06
9,1.0,6.40286438678083e-22,4.8922723034555404e-23
10,0.9996479405245364,7.938108411118759e-12,0.00035205946752538304
