Time,,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,AIC fold,AIC hopf,AIC null,Smax
199,Lower,0.1469167511343228,-0.04036316759339852,-0.11425060034577464,-0.19989453582177316,0.005346566483110422,0.43785250317699,0.4081862964143116,0.011523371868871765
199,Mean,0.14937143083907306,-0.02642979559226342,-0.09221912784719585,-0.18412967056702553,0.014383450691375725,0.5060855663204261,0.4795309829881982,0.012001731698737826
199,Upper,0.1521031133384515,-0.012382730003128476,-0.07003539688108028,-0.16715936953173122,0.027230961277269556,0.5784224818945969,0.5533807019325471,0.012517434179572061
219,Lower,0.14392730602926443,-0.08567000988605074,-0.07513945882944449,-0.16895268085094442,0.0010532919126077052,0.5619509614882207,0.2926026282826424,0.011157723747773945
219,Mean,0.14631355229448165,-0.0739004926180755,-0.052077896411373496,-0.15676978463686134,0.0019082844450929873,0.6346864064071217,0.36340530914778524,0.011650951507094802
219,Upper,0.14864512889612955,-0.06097313223111149,-0.0287550241750787,-0.14573246622570288,0.0029760349358728296,0.7051761179461352,0.43553681642186864,0.012220071771123095
239,Lower,0.12972354971200695,-0.18098483121713596,0.009708070615573643,-0.10548522642010504,0.00014654850799061274,0.7907249700206778,0.10129190576617472,0.010246927263495615
239,Mean,0.13258875527083117,-0.16031691438287216,0.032503199780736874,-0.09267256458901293,0.001972736965465741,0.8434450093911093,0.15458225364342496,0.010710746556351118
239,Upper,0.13533850344481976,-0.14281708769959295,0.05464884685669081,-0.07926687162331626,0.004988851607563324,0.8946452428871323,0.21005147276406844,0.011218427583816762
259,Lower,0.14754841569574204,-0.18710009129612584,-0.02523010508532177,-0.11146672480987821,1.5057981579314662e-05,0.7683161161925323,0.12610594242924172,0.011005667725264427
259,Mean,0.1503833654492619,-0.17019378322355347,-0.0016109089158947776,-0.10174944697803127,0.0003571976302589788,0.8258319238186034,0.1738108785511377,0.011502775162530367
259,Upper,0.15320798135285066,-0.15479666220728316,0.022094732523348773,-0.09095254876861461,0.001025501078280306,0.8772470391097656,0.2286998478073503,0.011996879488608388
279,Lower,0.15245244590507798,-0.29038283014006344,-0.07365242323810846,-0.10350724867425024,4.4898807051889195e-06,0.8828037946436479,0.040638754921537096,0.012212221839441123
279,Mean,0.15583170980874483,-0.27266160748012763,-0.05483954566545985,-0.09296793472403317,1.4764909856055677e-05,0.9220205252400292,0.07796470985011483,0.012833695672231001
279,Upper,0.15891692966782692,-0.2535739288635053,-0.03714732603934545,-0.08259365887030248,2.6102741785224837e-05,0.9614260789902284,0.11644168017258852,0.01348747246617275
299,Lower,0.16758538054866412,-0.3557810270859419,-0.0559354800231251,-0.0208740686078642,3.2730562281477485e-07,0.9641058531770831,0.0010814356562031235,0.014975300952240532
299,Mean,0.1722934985869588,-0.3356173087702375,-0.037748051393223576,-0.0010251149998056791,1.9175943721145686e-05,0.9876623585278728,0.012318465528406127,0.015742157226287835
299,Upper,0.1768430097700669,-0.31642692363886604,-0.019874195097684927,0.017926505196058175,4.8458177605279024e-05,0.9989334567137742,0.0321784451570113,0.016536733262197498
319,Lower,0.16997673747227302,-0.40749977803915255,0.01818743272837753,-0.05981507486887425,2.16117449700062e-12,0.9996363201530086,2.893553461803695e-07,0.015096876863567477
319,Mean,0.17453393810221807,-0.39421251229106125,0.034049398108853345,-0.0479283223325575,7.617034434361795e-10,0.9998748662532858,0.0001251329850107006,0.015835662909212428
319,Upper,0.17899825293990954,-0.379373232838365,0.04883528588397748,-0.03575502992363926,2.095860902780874e-09,0.999999692345284,0.00036322267384746796,0.01657520393569498
339,Lower,0.1987236262342373,-0.5050667297293037,0.15839026047177282,-0.13088438858230209,2.329908179024325e-14,0.9999985631808637,4.686708090047142e-10,0.024833014286188723
339,Mean,0.2050074093730326,-0.4896280926785566,0.18025046450240836,-0.10850428946825334,2.6671245044906794e-12,0.9999995120993062,4.878980268056329e-07,0.026651227827663118
339,Upper,0.21152060574270706,-0.47506956048743965,0.20240873598773207,-0.08784083126061129,7.536966187116603e-12,0.9999999996177332,1.436701729866525e-06,0.028463391114622188
359,Lower,0.20967519502089477,-0.5660802841567352,0.2350208655712208,-0.20028187997747446,1.1066684384502866e-19,0.9999999999995888,8.700427891526021e-16,0.02923875079708373
359,Mean,0.21613075732481485,-0.5535373807548326,0.25900378603334306,-0.17315068675783454,2.6127666878328358e-17,0.9999999999998604,1.3953370034288825e-13,0.0314419667137185
359,Upper,0.22242540413573444,-0.5399326216259072,0.2817789199432711,-0.14857315630603854,7.790602030138451e-17,0.9999999999999993,4.1264298479454e-13,0.03336308854333955
379,Lower,0.24891809489990802,-0.6268517841445966,0.3476413531364696,-0.32727764649560515,1.9083343025763842e-20,0.9999999999987934,7.080688031510163e-17,0.04411777906827913
379,Mean,0.2564538007544401,-0.612390966697935,0.3721834905864141,-0.2999764614362091,1.254254032274511e-16,0.9999999999995955,4.043626502703697e-13,0.04811712328986692
379,Upper,0.2639477504072706,-0.5979311057213678,0.39502048828324143,-0.2705131203055265,3.7809621562564283e-16,1.0,1.139627672253345e-12,0.05205657878574582
399,Lower,0.46922638982610404,-0.727863938664908,0.510138532460638,-0.4512723340205674,1.0151723732343655e-20,0.9999999999996518,1.2666464931209163e-17,0.1270589834867477
399,Mean,0.502920512313047,-0.7105289490215276,0.5416930055415943,-0.4180628212388276,1.9338045565788234e-17,0.9999999999998718,1.281970220873393e-13,0.14513555899508898
399,Upper,0.5356387162631784,-0.6909404005742776,0.5721917295984936,-0.384026624130582,4.9123774143410575e-17,1.0,3.601555979812066e-13,0.16561411748749127
